delivery_id,assigned_agent,priority,region,delivery_mode,distance_km,package_weight_kg,delivery_cost,cost_per_km,delivery_rating,delivery_status,is_delayed,perf_score,route_cluster,lat,lon
27,Agent Beta,High,east,express,293.8,41.03,1632.7206,5.557251872021784,3,delayed,1,43.44444444444444,0,20.79804269295016,88.07119787762382
28,Agent Alpha,Low,east,standard,286.8,46.67,1574.01,5.488179916317991,3,delivered,0,84.0,0,22.685406630481673,90.86331350492958
29,Agent Gamma,High,south,express,136.1,48.1,874.8,6.427626745040412,5,delivered,0,100.0,2,13.454487413172256,77.82074970222972
30,Agent Alpha,Medium,east,two day,291.4,6.12,1475.36,5.063006177076184,5,delivered,0,100.0,0,19.878702476319987,87.0783844808457
31,Agent Alpha,Low,south,standard,295.0,19.68,1534.04,5.200135593220339,5,delivered,0,100.0,0,13.545269111408631,80.42538889949628
32,Agent Gamma,High,central,same day,223.3,6.29,1235.37,5.532333184057321,1,failed,1,28.0,4,21.223144742123747,78.58972155978356
33,Agent Gamma,High,south,express,242.5,46.73,1402.69,5.784288659793814,1,failed,1,23.0,0,10.290309557911677,80.98382373375546
34,Agent Gamma,Medium,central,two day,35.1,22.72,243.66,6.941880341880341,5,delivered,0,100.0,3,25.89331322352,80.04985642642437
35,Agent Beta,High,central,express,81.8,45.51,595.53,7.280317848410758,2,delayed,1,31.0,1,25.993792198447355,79.17365354891685
36,Agent Beta,High,east,same day,37.6,22.81,356.43,9.479521276595744,4,delivered,0,92.0,3,24.45038408869877,88.74246105184659
37,Agent Gamma,High,north,express,46.8,4.72,298.16,6.370940170940172,2,delayed,1,26.0,3,27.527682615040224,75.38809615004104
38,Agent Beta,High,central,same day,233.4,18.0,1321.0,5.65981148243359,5,delivered,0,100.0,4,20.786032684038304,77.10524538841345
39,Agent Alpha,Low,east,standard,62.2,48.58,456.74,7.343086816720257,3,delivered,0,84.0,1,23.705398159072942,89.56029346516686
40,Agent Gamma,Low,south,standard,114.0,43.85,701.55,6.153947368421052,4,delivered,0,92.0,1,12.540914962437608,82.22777304901652
41,Agent Gamma,High,north,same day,131.5,25.79,834.87,6.348821292775665,5,delivered,0,100.0,2,26.432229409068672,79.85841734653432
42,Agent Gamma,High,south,express,21.4,16.58,206.74,9.660747663551403,3,delayed,1,40.666666666666664,3,12.871061460667622,80.83271659682751
43,Agent Gamma,Low,west,standard,258.5,8.37,1317.61,5.097137330754352,5,delivered,0,100.0,4,20.20633112669131,72.76151620382659
44,Agent Alpha,Medium,east,two day,253.9,7.07,1290.71,5.083536825521859,3,delivered,0,84.0,4,25.055922412472693,85.5061515387269
45,Agent Gamma,High,north,same day,6.7,7.96,157.38,23.48955223880597,4,delivered,0,92.0,3,27.252679889600103,74.53259441490107
46,Agent Alpha,Low,west,standard,178.1,26.7,970.6,5.449747332959012,4,delivered,0,92.0,2,23.97513370612389,70.53662998582439
47,Agent Alpha,Low,south,standard,180.0,35.04,1005.12,5.584,3,delivered,0,84.0,2,11.770266456536467,77.52855958713778
48,Agent Gamma,Medium,north,two day,187.9,14.96,984.38,5.238850452368281,4,delivered,0,92.0,2,28.820408127066862,76.50517943282955
49,Agent Beta,High,west,express,78.3,49.22,589.16,7.524393358876117,1,failed,1,26.75,1,23.280261676059677,71.62127127083323
50,Agent Alpha,High,west,express,51.6,23.45,378.35,7.332364341085271,4,delivered,0,92.0,3,21.10912673315316,73.42412494721034
51,Agent Alpha,High,central,same day,26.9,29.86,324.08,12.047583643122676,5,delivered,0,100.0,3,26.01750776658735,77.61399064760042
52,Agent Beta,High,north,express,216.7,26.89,1214.17,5.602999538532534,2,delayed,1,37.42857142857143,4,30.35079694016669,77.67582455632716
53,Agent Gamma,Low,south,standard,148.2,38.6,856.8,5.781376518218623,4,delivered,0,92.0,2,15.536993649385135,80.03186321762593
54,Agent Gamma,High,south,same day,184.2,46.79,1161.37,6.304940282301845,4,delivered,0,92.0,4,15.268964102565892,78.86642289132554
55,Agent Beta,High,east,same day,167.7,42.4,1065.7,6.354800238521169,5,delivered,0,100.0,4,23.187399872866514,91.11695188967887
56,Agent Alpha,Low,central,standard,197.7,25.84,1066.02,5.3921092564491655,5,delivered,0,100.0,4,25.7312454101387,74.91845495856084
57,Agent Beta,Low,north,standard,211.9,46.94,1200.32,5.664558754129306,5,delivered,0,100.0,4,26.230955012311515,79.73334599679184
58,Agent Alpha,High,west,same day,64.3,21.05,484.65,7.537325038880248,5,delivered,0,100.0,1,21.175897174514873,71.4674282811884
59,Agent Gamma,Medium,east,two day,206.7,3.87,1045.11,5.056168359941944,4,delivered,0,92.0,4,19.87136373346323,88.47596867220379
60,Agent Gamma,Medium,east,two day,83.5,6.81,437.93,5.244670658682635,5,delivered,0,100.0,1,21.551981984579587,86.05305393696528
61,Agent Alpha,High,central,same day,9.3,47.62,289.36,31.113978494623655,5,delivered,0,100.0,3,22.53206373813689,74.82558641022607
62,Agent Alpha,Low,west,standard,245.9,47.01,1370.53,5.57352582350549,3,delivered,0,84.0,0,21.628094190643374,72.17727269231162
63,Agent Beta,High,north,express,225.7,45.7,1315.6,5.828976517501108,2,delayed,1,34.75,4,30.672425054911574,78.55018425827807
64,Agent Gamma,High,east,express,226.0,37.62,1292.86,5.720619469026548,2,delayed,1,37.42857142857143,4,21.740519960161535,87.0161886652913
65,Agent Alpha,Medium,west,two day,113.3,34.03,668.59,5.901059135039718,5,delivered,0,100.0,1,21.685607058124283,72.97408733361192
66,Agent Gamma,Low,north,standard,232.3,41.91,1287.23,5.541239776151528,4,delivered,0,92.0,4,28.95617649894949,75.7719020431369
67,Agent Gamma,High,east,express,87.7,22.38,555.64,6.3356898517673885,2,failed,1,34.75,1,20.445545349848576,87.73167836535825
68,Agent Alpha,High,east,same day,90.1,27.46,632.88,7.024195338512764,4,delivered,0,92.0,1,24.41318188452424,90.83867791084296
69,Agent Alpha,High,north,express,110.4,44.94,736.82,6.674094202898551,2,delayed,1,32.666666666666664,2,26.147303862078623,79.23503775296952
70,Agent Beta,High,central,same day,217.3,3.03,1195.59,5.502024850437183,5,delivered,0,100.0,4,26.1213216196031,77.49610526050579
71,Agent Alpha,Low,south,standard,75.2,28.25,460.75,6.126994680851063,3,delivered,0,84.0,1,14.533468615779945,78.62863376483247
72,Agent Beta,Medium,south,two day,23.2,19.18,173.54,7.480172413793103,5,delivered,0,100.0,3,11.092294089205035,78.35910347639813
73,Agent Gamma,High,north,express,78.5,27.87,526.11,6.70203821656051,3,delayed,1,33.375,1,25.733132702741614,79.82452411821428
74,Agent Alpha,High,north,express,138.3,47.87,885.11,6.399927693420101,3,delayed,1,36.5,2,30.592768570729003,75.31629957906412
75,Agent Beta,Medium,north,two day,96.4,39.33,599.99,6.223962655601659,4,delivered,0,92.0,1,29.9411440630857,78.94900986547523
76,Agent Alpha,Low,west,standard,216.2,23.93,1152.79,5.332053654024052,4,delivered,0,92.0,4,24.374043008245923,71.81382125721322
77,Agent Beta,High,south,express,24.1,34.1,272.8,11.319502074688797,3,delayed,1,31.142857142857142,3,14.527622080115675,83.11395908534944
78,Agent Beta,Low,east,standard,197.1,28.23,1070.19,5.429680365296804,4,delivered,0,92.0,4,20.044267910404542,87.60893444217673
79,Agent Beta,High,west,same day,94.8,10.02,604.06,6.371940928270042,4,delivered,0,92.0,1,22.150794371265636,71.70909974946436
80,Agent Beta,High,south,express,56.0,22.91,398.73,7.120178571428572,2,delayed,1,41.0,3,10.595214357150779,81.02478177326574
81,Agent Beta,High,east,same day,70.7,5.72,470.66,6.6571428571428575,3,delayed,1,49.0,1,24.77862055525356,91.16910083976092
82,Agent Gamma,High,east,same day,60.4,22.93,470.79,7.79453642384106,5,delivered,0,100.0,1,23.339788760965348,91.2572576347786
83,Agent Beta,High,central,same day,258.4,22.08,1458.24,5.643343653250774,2,failed,1,38.22222222222222,0,22.185388149115894,78.64323687880191
84,Agent Beta,Medium,central,two day,89.3,34.98,551.44,6.1751399776035845,4,delivered,0,92.0,1,20.58135010171614,78.92763819381813
85,Agent Alpha,Medium,south,two day,244.0,13.62,1260.86,5.167459016393442,4,delivered,0,92.0,4,11.765893930293974,80.58041305583816
86,Agent Gamma,Low,south,standard,87.8,19.77,498.31,5.675512528473805,4,delivered,0,92.0,1,11.851099932160484,81.734654434794
87,Agent Alpha,High,east,same day,3.6,20.7,172.6,47.94444444444444,4,delivered,0,92.0,3,23.977637070028386,90.55867792982299
88,Agent Gamma,Medium,south,two day,3.6,8.75,95.6674,26.574277777777777,3,delivered,0,84.0,3,13.725344828131279,80.11657181917015
89,Agent Gamma,Low,east,standard,111.0,36.68,665.04,5.991351351351351,4,delivered,0,92.0,1,24.92327645545796,89.11917357698063
90,Agent Alpha,High,east,express,256.4,33.53,1432.59,5.587324492979719,3,delayed,1,39.90909090909091,0,22.433289550971697,88.62390017139829
91,Agent Gamma,High,east,same day,177.9,20.16,1049.98,5.902079820123665,5,delivered,0,100.0,4,20.317565475629813,88.77482368117207
92,Agent Alpha,Medium,east,two day,204.2,8.09,1045.27,5.118854064642507,4,delivered,0,92.0,4,23.879468723337972,90.74028745924365
93,Agent Beta,Low,central,standard,125.0,39.41,743.23,5.9458400000000005,5,delivered,0,100.0,2,24.764710291701384,76.53370098123342
94,Agent Gamma,Medium,north,two day,83.3,34.71,520.63,6.250060024009604,4,delivered,0,92.0,1,29.067663185416976,75.34910415360373
95,Agent Beta,Low,west,standard,193.2,33.28,1065.84,5.516770186335403,4,delivered,0,92.0,4,24.625803079727365,72.33768066164177
96,Agent Gamma,Medium,east,two day,174.3,47.29,1013.37,5.81394148020654,5,delivered,0,100.0,2,22.562773578186345,86.6485111428876
97,Agent Alpha,High,west,same day,11.4,40.22,277.66,24.356140350877194,5,delivered,0,100.0,3,23.136396976291962,72.59040255397211
98,Agent Gamma,High,east,express,166.4,44.96,1016.88,6.111057692307692,2,delayed,1,36.833333333333336,2,22.1652461101513,90.82104863214235
99,Agent Gamma,Low,west,standard,189.6,38.07,1062.21,5.60237341772152,5,delivered,0,100.0,4,20.15251476046457,73.30460112289487
100,Agent Beta,High,west,express,111.2,37.33,717.99,6.456744604316547,2,delayed,1,32.666666666666664,1,20.647348561959827,74.73259711981846
101,Agent Alpha,High,west,same day,103.2,37.97,729.91,7.0727713178294564,5,delivered,0,100.0,2,20.188575114120404,70.59714551769306
102,Agent Alpha,Low,east,standard,236.4,47.28,1323.84,5.6,4,delivered,0,92.0,4,23.418462467582685,90.80524155522306
103,Agent Beta,High,central,same day,111.9,26.34,738.52,6.599821268990169,5,delivered,0,100.0,2,22.08613588645796,78.0107229864427
104,Agent Alpha,Low,south,standard,86.6,20.64,494.92,5.715011547344111,5,delivered,0,100.0,1,12.951424146988217,77.39055873244288
105,Agent Gamma,Low,west,standard,235.6,48.07,1322.21,5.612096774193549,5,delivered,0,100.0,4,25.445398843556557,73.39871373171022
106,Agent Alpha,High,south,same day,295.5,48.45,1632.7206,5.525281218274112,4,delivered,0,92.0,0,11.39575337489325,82.9083817375655
107,Agent Gamma,Medium,west,two day,56.3,43.65,412.45,7.325932504440497,5,delivered,0,100.0,3,22.46229753821378,70.07500200285217
108,Agent Gamma,Medium,central,two day,114.2,28.82,657.46,5.757092819614711,5,delivered,0,100.0,1,24.73330683125829,77.89473678281743
109,Agent Beta,High,north,same day,3.6,31.41,203.23,56.452777777777776,4,delivered,0,92.0,3,27.072788992949732,79.59287161721828
110,Agent Gamma,High,west,same day,146.2,22.55,898.65,6.14671682626539,2,failed,1,38.22222222222222,2,20.46187945897276,69.65817101000624
111,Agent Gamma,High,east,same day,85.6,10.69,560.07,6.542873831775702,4,delivered,0,92.0,1,21.33850871748261,89.18547755879494
112,Agent Alpha,High,south,express,247.9,5.23,1305.19,5.264985881403792,2,failed,1,32.666666666666664,4,10.867327723524028,80.04941375098578
113,Agent Beta,Low,south,standard,274.8,0.82,1376.46,5.008951965065502,4,delivered,0,92.0,0,15.47818591405544,79.28193591189167
114,Agent Alpha,Low,west,standard,35.7,10.8,210.9,5.9075630252100835,3,delivered,0,84.0,3,24.8487222773865,73.36521893967225
115,Agent Beta,High,central,express,259.3,27.01,1427.53,5.505322020825298,1,failed,1,29.875,0,24.00042253906254,74.71621256752451
116,Agent Gamma,High,south,same day,65.3,45.09,561.77,8.60290964777948,5,delivered,0,100.0,1,15.128763541126308,81.7183782777244
117,Agent Gamma,High,south,express,93.1,20.89,578.17,6.210204081632653,3,delivered,0,84.0,1,14.722032461394686,77.22687686151825
118,Agent Alpha,Low,central,standard,265.8,32.11,1425.33,5.362415349887133,5,delivered,0,100.0,0,21.319420353316215,76.24161446275411
119,Agent Alpha,Medium,west,two day,110.2,23.24,620.72,5.632667876588022,4,delivered,0,92.0,1,25.355353990939868,72.62375182610806
120,Agent Gamma,Low,west,standard,6.0,0.88,95.6674,15.944566666666667,4,delivered,0,92.0,3,23.236053451493905,71.8621335033993
121,Agent Gamma,Medium,east,two day,16.5,21.49,146.97,8.907272727272726,4,delivered,0,92.0,3,24.444640930984377,87.2448556112335
122,Agent Alpha,Low,north,standard,102.0,18.67,566.01,5.549117647058823,4,delivered,0,92.0,1,31.076547799540958,79.08501087280857
123,Agent Alpha,High,north,express,265.4,15.96,1424.88,5.368801808590807,3,delayed,1,37.46153846153846,0,27.60802084983118,79.70899544563144
124,Agent Beta,Medium,north,two day,27.5,15.43,183.79,6.683272727272727,5,delivered,0,100.0,3,26.36031154716606,79.34227610943533
125,Agent Beta,Medium,south,two day,59.5,7.79,320.87,5.392773109243698,3,delivered,0,84.0,3,11.26761097525165,80.3345878783
126,Agent Beta,High,north,express,290.2,29.26,1588.78,5.474776016540317,4,delivered,0,92.0,0,28.26264673175754,79.40498505116089
127,Agent Beta,Low,east,standard,124.0,40.2,740.6,5.97258064516129,4,delivered,0,92.0,2,24.50808859553496,90.92516939108927
128,Agent Gamma,Medium,north,two day,261.9,41.68,1434.54,5.477434135166094,4,delivered,0,92.0,0,30.86438349953806,76.55543038228477
129,Agent Gamma,Medium,central,two day,115.6,13.57,618.71,5.352162629757786,5,delivered,0,100.0,1,20.241712783187143,76.10067515703268
130,Agent Beta,High,east,express,156.0,14.49,873.47,5.599166666666667,3,delivered,0,84.0,2,22.664483815465395,85.98959123487992
131,Agent Alpha,Low,north,standard,284.1,14.35,1463.55,5.151531151003168,4,delivered,0,92.0,0,28.204466018892674,76.97455152629537
132,Agent Gamma,High,north,same day,287.0,8.21,1559.63,5.43425087108014,1,failed,1,28.0,0,27.032646862824382,79.77778152263065
133,Agent Gamma,Medium,north,two day,50.5,31.28,346.34,6.858217821782178,4,delivered,0,92.0,3,26.419192204002094,77.46544516842222
134,Agent Gamma,Medium,west,two day,203.3,7.5,1039.0,5.110673880964092,4,delivered,0,92.0,4,22.025691028421768,73.60537261071703
135,Agent Beta,High,west,same day,127.8,20.03,799.09,6.252660406885759,3,delivered,0,84.0,2,25.657458223475114,70.27730291095108
136,Agent Beta,Medium,east,two day,45.8,27.22,310.66,6.782969432314411,5,delivered,0,100.0,3,21.539217592124533,86.26111798485354
137,Agent Alpha,High,west,same day,8.7,33.93,245.29,28.19425287356322,5,delivered,0,100.0,3,23.112743730460195,72.38683957175803
138,Agent Gamma,Low,north,standard,152.8,48.37,909.11,5.94967277486911,4,delivered,0,92.0,2,29.918113753371067,79.80758879390235
139,Agent Alpha,High,south,same day,29.0,40.89,367.67,12.678275862068967,4,delivered,0,92.0,3,12.081777614275765,79.36470784954918
140,Agent Beta,Low,north,standard,281.6,19.81,1467.43,5.211044034090909,3,delivered,0,84.0,0,31.530692496325763,79.3649042479052
141,Agent Gamma,High,east,same day,75.7,41.47,602.91,7.964464993394979,2,delayed,1,41.0,1,25.37468376965267,86.12173156055428
142,Agent Beta,Low,north,standard,132.5,14.18,705.04,5.3210566037735845,4,delivered,0,92.0,1,27.210693774952183,77.80210324160225
143,Agent Alpha,Low,west,standard,218.2,34.0,1193.0,5.467461044912924,5,delivered,0,100.0,4,22.983491035354312,73.2036778614631
144,Agent Gamma,High,east,express,152.8,10.46,845.38,5.532591623036649,2,delayed,1,31.625,2,21.40526985890062,90.55924850042162
145,Agent Beta,High,west,same day,113.8,21.95,734.85,6.457381370826011,3,delivered,0,84.0,2,21.709042966264807,69.61990022642941
146,Agent Gamma,Low,east,standard,189.3,30.78,1038.84,5.487797147385102,5,delivered,0,100.0,4,19.8213216841272,86.53959000318544
147,Agent Beta,Medium,north,two day,60.1,40.63,422.39,7.028119800332778,3,delivered,0,84.0,1,29.35738600387938,75.41812575257688
148,Agent Gamma,High,south,same day,147.7,46.57,978.21,6.622951929587002,4,delivered,0,92.0,2,12.916074139373169,82.89979652854443
149,Agent Beta,Medium,north,two day,289.0,48.99,1591.97,5.508546712802768,4,delivered,0,92.0,0,26.008872507499937,75.02216193761936
150,Agent Alpha,High,north,express,235.6,42.35,1355.05,5.751485568760611,3,delayed,1,45.42857142857143,0,27.371878785419668,74.32177410132336
151,Agent Alpha,High,central,same day,101.1,9.76,634.78,6.278733926805144,4,delivered,0,92.0,1,25.64959531579992,77.60676896845085
152,Agent Beta,Medium,central,two day,273.9,42.56,1497.18,5.466155531215773,3,delivered,0,84.0,0,21.637371344001835,77.5713507746021
153,Agent Beta,Low,north,standard,262.6,29.36,1401.08,5.335415079969534,4,delivered,0,92.0,0,26.569369232547338,79.16428179220718
154,Agent Gamma,Medium,east,two day,82.2,18.81,467.43,5.686496350364964,3,delivered,0,84.0,1,22.53671656166538,91.09315790106682
155,Agent Beta,High,south,same day,280.3,15.29,1547.37,5.520406707099536,4,delivered,0,92.0,0,15.813902724663604,80.43127265284079
156,Agent Beta,High,east,same day,146.1,36.12,938.86,6.426146475017112,2,delayed,1,41.0,2,21.052331629069005,90.97996509451794
157,Agent Alpha,High,west,same day,279.9,21.63,1564.39,5.58910325116113,2,failed,1,32.666666666666664,0,24.03281328443527,73.95095490779897
158,Agent Alpha,High,south,same day,165.4,43.2,1056.6,6.388149939540507,2,delayed,1,34.18181818181819,4,14.469717691972306,78.78735476797351
159,Agent Alpha,Medium,central,two day,29.9,47.31,291.43,9.746822742474917,3,delivered,0,84.0,3,21.625825263954397,79.97052426566356
160,Agent Alpha,Low,north,standard,42.6,44.55,346.65,8.13732394366197,4,delivered,0,92.0,3,30.069298091671158,78.10465905709124
161,Agent Gamma,Low,east,standard,149.9,23.31,819.43,5.466511007338225,4,delivered,0,92.0,2,21.806698796315523,87.8845755964558
162,Agent Gamma,Low,west,standard,8.4,44.16,174.48,20.77142857142857,4,delivered,0,92.0,3,23.793834983561478,73.68145250710158
163,Agent Alpha,Medium,east,two day,230.8,30.01,1244.03,5.390077989601386,4,delivered,0,92.0,4,23.40117826456537,87.80787696646252
164,Agent Alpha,High,west,express,93.0,9.37,543.11,5.8398924731182795,4,delivered,0,92.0,1,23.21464810444855,70.28510260792775
165,Agent Alpha,Medium,west,two day,10.4,4.59,95.6674,9.198788461538461,4,delivered,0,92.0,3,20.54173862032645,73.9138724830614
166,Agent Beta,Medium,north,two day,194.9,2.42,981.76,5.037249871729092,4,delivered,0,92.0,2,30.711814973535425,79.04452567302445
167,Agent Gamma,High,west,express,182.1,2.26,967.28,5.3118066996155955,2,delayed,1,27.363636363636363,2,21.924680389830414,73.97283719411632
168,Agent Beta,Low,south,standard,38.8,40.89,316.67,8.16159793814433,4,delivered,0,92.0,3,11.019111062399126,78.57468800654006
169,Agent Beta,Medium,north,two day,55.2,6.78,296.34,5.368478260869565,3,delivered,0,84.0,3,25.944650849328582,79.83981008086567
170,Agent Alpha,High,east,express,223.3,44.36,1299.58,5.819883564711151,1,failed,1,20.5,4,23.145357659129452,85.55152737014694
171,Agent Gamma,High,west,express,46.2,14.83,325.49,7.045238095238095,5,delivered,0,100.0,3,24.065386171053696,71.59611178425384
172,Agent Gamma,Medium,south,two day,3.6,49.52,163.39,45.386111111111106,5,delivered,0,100.0,3,9.999526973567137,78.76055460720937
173,Agent Alpha,High,north,express,297.1,22.0,1615.5,5.437563110063951,5,delivered,0,100.0,0,28.772558349795684,74.3887573656891
174,Agent Gamma,High,central,express,87.8,7.72,512.16,5.833257403189066,5,delivered,0,100.0,1,21.558974651187626,76.83437815793202
175,Agent Alpha,High,central,express,267.4,11.53,1421.59,5.316342557965595,2,delayed,1,35.44444444444444,0,24.071036742456698,78.13868904097666
176,Agent Alpha,Medium,east,two day,124.8,10.84,656.52,5.260576923076923,4,delivered,0,92.0,1,20.64619857402995,90.69531718091062
177,Agent Alpha,High,south,express,288.9,8.3,1519.4,5.25925925925926,4,delivered,0,92.0,0,14.045626428614796,83.13813829714883
178,Agent Alpha,Medium,central,two day,129.5,39.84,767.02,5.922934362934363,4,delivered,0,92.0,2,22.520412077803222,79.24853751842639
179,Agent Alpha,High,south,same day,225.0,7.32,1246.96,5.5420444444444446,3,delayed,1,42.18181818181819,4,15.520379932420408,80.01208311227695
180,Agent Beta,Low,south,standard,289.7,24.36,1521.58,5.252260959613393,5,delivered,0,100.0,0,10.72512566487596,81.54222655580219
181,Agent Alpha,Low,south,standard,85.4,41.07,550.21,6.4427400468384075,4,delivered,0,92.0,1,11.946398106301551,82.26174273153785
182,Agent Alpha,High,east,same day,9.9,30.24,240.22,24.264646464646464,3,delivered,0,84.0,3,20.280841127443537,88.19184317851209
183,Agent Beta,Low,west,standard,135.1,37.59,788.27,5.8347150259067355,5,delivered,0,100.0,2,25.548161709671376,74.31032660415299
184,Agent Gamma,Low,south,standard,228.6,5.64,1159.92,5.0740157480314965,4,delivered,0,92.0,4,15.164036120285886,80.09591450987726
185,Agent Beta,High,north,express,169.6,41.44,1022.32,6.027830188679245,3,delayed,1,37.888888888888886,2,27.247649766290934,76.41897594526033
186,Agent Gamma,High,central,express,250.7,29.97,1393.41,5.558077383326686,2,failed,1,33.5,0,24.159904276205072,77.55654502670258
187,Agent Beta,Medium,north,two day,80.7,0.67,404.76,5.015613382899628,4,delivered,0,92.0,3,30.603333201207295,78.15512842576287
188,Agent Gamma,Medium,east,two day,21.3,41.19,230.07,10.801408450704225,3,delivered,0,84.0,3,22.931204869596776,89.76129233791158
189,Agent Alpha,Medium,north,two day,67.1,32.91,434.23,6.471385991058123,4,delivered,0,92.0,1,28.87790347013604,76.24041761335265
190,Agent Gamma,Low,west,standard,69.4,0.99,349.97,5.042795389048991,3,delivered,0,84.0,3,21.45111374540271,73.02792150933621
191,Agent Alpha,Medium,south,two day,101.2,39.37,624.11,6.167094861660079,5,delivered,0,100.0,1,10.458616606835395,82.65922524448268
192,Agent Beta,Medium,north,two day,94.2,49.37,619.11,6.572292993630573,4,delivered,0,92.0,1,31.08329454771996,79.95787740066383
193,Agent Beta,High,north,same day,71.0,32.56,552.68,7.784225352112675,3,delivered,0,84.0,1,31.10250834297998,75.46348854710372
194,Agent Gamma,Medium,east,two day,37.4,42.36,314.08,8.397860962566845,4,delivered,0,92.0,3,23.39860874363961,86.55698699428005
195,Agent Gamma,Medium,north,two day,157.0,43.03,914.09,5.822229299363057,4,delivered,0,92.0,2,27.7341787462922,78.16011380057188
196,Agent Gamma,High,east,same day,213.7,49.52,1317.81,6.166635470285447,5,delivered,0,100.0,4,21.695257447675967,87.88810331494066
197,Agent Beta,High,central,express,272.6,12.84,1451.52,5.324724871606749,2,delayed,1,37.875,0,24.555734073221437,74.54533403050883
198,Agent Gamma,High,south,express,83.5,24.02,539.56,6.461796407185628,2,delayed,1,26.714285714285715,1,15.282661559715462,79.2811712238837
199,Agent Alpha,High,central,express,198.5,20.1,1102.8,5.555667506297229,5,delivered,0,100.0,4,25.522518545590703,79.24046846083351
200,Agent Gamma,High,west,express,158.7,35.06,948.68,5.977819785759294,2,failed,1,36.833333333333336,2,24.679253275145744,74.38456158229909
201,Agent Alpha,High,north,same day,265.3,31.8,1521.9,5.7365246890312855,5,delivered,0,100.0,0,29.552189876925727,77.06811089289948
202,Agent Alpha,High,east,express,208.8,22.83,1162.49,5.567480842911877,2,delayed,1,32.666666666666664,4,20.104839789970296,88.23546760932521
203,Agent Beta,High,east,express,55.7,46.5,468.0,8.402154398563734,1,failed,1,33.0,1,20.569772284567684,88.87704465460627
